transaction_id,datetime,store_id,customer_id,product_id,quantity,unit_price,total_price,cost,total_cost
43904,2024-01-01 09:00:00,3,14142,36,1,59.25163702919389,59.25,29.80019306443384,29.8
43904,2024-01-01 09:00:00,3,14142,15,1,87.21584687923549,87.22,51.423338085999774,51.42
19291,2024-01-01 09:21:00,1,11438,1,1,59.42251181480487,59.42,34.15932787828032,34.16
11726,2024-01-01 09:26:00,1,10629,33,1,27.964882646433434,27.96,16.292411071585747,16.29
6570,2024-01-01 09:29:00,1,6570,25,1,44.971495950453466,44.97,30.89087523116796,30.89
45806,2024-01-01 09:34:00,4,14354,4,1,74.98432652205773,74.98,38.384228204385145,38.38
15459,2024-01-01 09:39:00,1,11025,29,1,24.40282065418142,24.4,15.61851192702008,15.62
14581,2024-01-01 09:59:00,2,10923,2,3,26.765089552414217,80.3,16.062306684945302,48.19
31250,2024-01-01 10:07:00,2,12699,6,1,111.95232873396112,111.95,64.35435783228779,64.35
47229,2024-01-01 10:20:00,4,14509,39,1,58.24780272202158,58.25,30.080007484942904,30.08
23149,2024-01-01 10:21:00,1,11852,16,1,91.3189084884842,91.32,57.07241429563664,57.07
14072,2024-01-01 10:28:00,2,10864,18,1,78.99092292442612,78.99,41.49005920472118,41.49
27715,2024-01-01 10:29:00,1,12322,38,1,71.93914996734976,71.94,43.27485813170894,43.27
43010,2024-01-01 10:42:00,3,14040,29,3,25.05840106330052,75.18,15.61851192702008,46.86
17534,2024-01-01 10:46:00,1,11253,26,1,21.56197291361293,21.56,12.094902325424748,12.09
5677,2024-01-01 10:47:00,1,5677,38,2,67.48516089130659,134.97,43.27485813170894,86.55
2400,2024-01-01 11:01:00,1,2400,16,1,97.71380609120921,97.71,57.07241429563664,57.07
14219,2024-01-01 11:07:00,2,10885,14,1,35.49074119203974,35.49,20.72329573965296,20.72
44494,2024-01-01 11:17:00,1,14208,6,1,128.43697082170124,128.44,64.35435783228779,64.35
47791,2024-01-01 11:33:00,1,14562,33,1,25.44914849130567,25.45,16.292411071585747,16.29
10250,2024-01-01 12:00:00,3,10250,30,1,28.095273188711158,28.1,22.215953663512238,22.22
32469,2024-01-01 12:02:00,1,12823,40,1,44.705066586029105,44.71,29.753590822229057,29.75
9862,2024-01-01 12:07:00,3,9862,43,1,91.38658853773497,91.39,54.405450134038176,54.41
9862,2024-01-01 12:07:00,3,9862,4,2,64.39966739121076,128.8,38.384228204385145,76.77
40850,2024-01-01 12:10:00,5,13796,4,1,64.06373153593739,64.06,38.384228204385145,38.38
48099,2024-01-01 12:16:00,2,14595,1,3,49.355948590766445,148.07,34.15932787828032,102.48
16277,2024-01-01 12:19:00,1,11117,24,1,79.9048673101397,79.9,57.603832640718444,57.6
30240,2024-01-01 12:26:00,5,12599,19,1,61.97151166190039,61.97,49.65040048880754,49.65
12548,2024-01-01 12:40:00,5,10717,44,2,45.87760982389014,91.76,28.442714982694312,56.89
27813,2024-01-01 13:09:00,2,12333,18,1,82.90534520188378,82.91,41.49005920472118,41.49
80,2024-01-01 13:12:00,7,80,8,1,30.488633243957153,30.49,21.322555337213245,21.32
5646,2024-01-01 13:12:00,2,5646,3,1,93.1045937396592,93.1,65.0307658356351,65.03
24153,2024-01-01 13:14:00,3,11943,19,2,71.28758771012012,142.58,49.65040048880754,99.3
33359,2024-01-01 13:15:00,1,12936,12,1,68.98540062181476,68.99,46.19791007143927,46.2
32195,2024-01-01 13:28:00,5,12788,20,2,43.959135095018816,87.92,26.10422385227317,52.21
27155,2024-01-01 13:48:00,3,12267,29,1,26.997074775371466,27.0,15.61851192702008,15.62
42421,2024-01-01 13:50:00,2,13983,4,1,65.86862138990097,65.87,38.384228204385145,38.38
48051,2024-01-01 14:03:00,1,14588,26,1,21.988497472566937,21.99,12.094902325424748,12.09
2672,2024-01-01 14:19:00,2,2672,19,1,63.1431846400131,63.14,49.65040048880754,49.65
11204,2024-01-01 14:20:00,2,10571,23,1,85.17002884387216,85.17,50.69143856981371,50.69
10193,2024-01-01 14:27:00,1,10193,44,1,42.95665278895061,42.96,28.442714982694312,28.44
3285,2024-01-01 14:52:00,5,3285,15,1,109.91013233425497,109.91,51.423338085999774,51.42
3285,2024-01-01 14:52:00,5,3285,23,1,84.28855070545616,84.29,50.69143856981371,50.69
46001,2024-01-01 15:16:00,2,14379,11,1,42.44453757388735,42.44,28.48313195933695,28.48
18143,2024-01-01 15:53:00,1,11314,8,1,31.782918598821087,31.78,21.322555337213245,21.32
26620,2024-01-01 16:06:00,1,12215,2,1,33.55058783942653,33.55,16.062306684945302,16.06
18883,2024-01-01 16:18:00,1,11401,30,1,29.082896531938,29.08,22.215953663512238,22.22
34750,2024-01-01 16:32:00,1,13112,22,1,77.15270162141883,77.15,47.90895689715446,47.91
