product_id,product_name,category,price,cost,margin
1,Flower Product 1,Flower,106.44,74.75523230535174,1.4237954272258564
2,Flower Product 2,Flower,117.38,63.990283910968515,1.8343625723912267
3,Flower Product 3,Flower,72.48,50.406659602203476,1.4379142608249473
4,Flower Product 4,Flower,122.36,56.98896145886204,2.1470132254513143
5,Flower Product 5,Flower,71.64,47.95795140044902,1.4937884247263327
6,Flower Product 6,Flower,88.83,43.816724395872825,2.0272749358890687
7,Flower Product 7,Flower,79.26,53.01192160947109,1.495084935718683
8,Flower Product 8,Flower,53.09,30.17276683543335,1.7595596084697238
9,Flower Product 9,Flower,151.0,71.04749923799804,2.125269239556231
10,Flower Product 10,Flower,94.62,54.07194081279819,1.7498076745378415
11,Flower Product 11,Flower,129.06,59.77324406724455,2.1591769579799633
12,Flower Product 12,Flower,137.27,76.81782770462152,1.786924915134355
13,Flower Product 13,Flower,63.03,44.136027399920906,1.4281144203447167
14,Flower Product 14,Flower,90.51,46.38554261047423,1.9513006085790805
15,Flower Product 15,Flower,140.41,73.68174915427369,1.9056103987634376
16,Vape Product 1,Vape,71.33,47.141740618174495,1.5131095111181718
17,Vape Product 2,Vape,53.99,32.69253507658332,1.6515518101644215
18,Vape Product 3,Vape,99.56,49.056318385881596,2.0295708158338464
19,Vape Product 4,Vape,98.3,53.513072499423785,1.8369204639469026
20,Vape Product 5,Vape,61.97,32.10495886304393,1.930129901397584
21,Vape Product 6,Vape,90.09,50.54279479959766,1.7823883863277492
22,Vape Product 7,Vape,116.63,56.25004731490604,2.0734709742935395
23,Vape Product 8,Vape,68.91,46.57683692383732,1.4795520280023298
24,Vape Product 9,Vape,71.66,48.70989936072171,1.471078223231582
25,Vape Product 10,Vape,56.37,26.55306745807994,2.1228987044714938
26,Pre-roll Product 1,Pre-roll,38.65,21.429499730786507,1.8034089723858657
27,Pre-roll Product 2,Pre-roll,29.16,14.611750883364202,1.9954418112844952
28,Pre-roll Product 3,Pre-roll,23.52,15.195522155582864,1.5479801768010828
29,Pre-roll Product 4,Pre-roll,15.09,10.136874280697239,1.4889263502336805
30,Pre-roll Product 5,Pre-roll,43.06,24.173844178096022,1.7812417616718277
31,Pre-roll Product 6,Pre-roll,40.74,20.79065376946961,1.9596008798587996
32,Pre-roll Product 7,Pre-roll,48.81,23.64081608414573,2.064441732851057
33,Pre-roll Product 8,Pre-roll,24.72,14.91872644775047,1.656694778295621
34,Pre-roll Product 9,Pre-roll,22.53,13.931119754498017,1.6170703338217525
35,Pre-roll Product 10,Pre-roll,26.16,17.725062927690686,1.4758743491782524
36,Edibles Product 1,Edibles,38.92,19.448327213800134,2.0010147610315734
37,Edibles Product 2,Edibles,71.68,42.761372218390406,1.6762094048671823
38,Edibles Product 3,Edibles,57.34,33.488689884884174,1.7120877980178348
39,Edibles Product 4,Edibles,31.79,21.31104803717086,1.491671364452378
40,Edibles Product 5,Edibles,42.44,25.571781491289716,1.6597932051591335
41,Edibles Product 6,Edibles,74.39,36.08963309828341,2.061385444478068
42,Edibles Product 7,Edibles,60.09,39.72824209866062,1.5125737880796506
43,Wellness Product 1,Wellness,109.25,72.31040496554958,1.5108060711370146
44,Wellness Product 2,Wellness,55.74,39.48614180958285,1.41167596750991
45,Wellness Product 3,Wellness,143.81,71.09152304214952,2.022932132085355
